thread_number,metadent_upper,metadent_lower,first_post_id,title,discovered_at
1777126651,ZsSS,DcQ3,DcQkdEKR3,【雑魚球団】セ界最低人気のヤクルトスワローズさん、何とか集客しようと阪神タイガースの靴を舐め迷惑系YouTuberを始球式に起用,2026-04-25T14:24:00.229Z
1777126641,xIcc,VrNL,VrNI1bjWL,中日・井上一樹、盛り塩について聞かれ「いや別に」「話す必要はない」と不機嫌になるｘｍｘｍｘｍｘｍｘｍｘｍｘｍｘｍｘｍｘｍｘｍｘ,2026-04-25T14:23:59.417Z
1777126621,hOBk,VAl8,VAl0iheh8,アメリカ人検査官「あ、日本人はNG（笑）」両人差し指でバッテン,2026-04-25T14:24:00.426Z
1777126619,T/FJ,vvPG,vvPWjphbG,イラン情勢でやばい国って日本だけ？,2026-04-25T14:24:00.543Z
1777126576,1s68,sck0,sckPyoVH0,投資部投機部,2026-04-25T14:23:59.777Z
1777126550,v4nd,uAmT,uAmbU7kMT,【悲報】紫雲清夏（うんすみ）スレ、ガチで減るｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ,2026-04-25T14:23:59.875Z
1777126514,pMFf,pgvc,pgvha7xCc,NARUTOで1番共感できないキャラってナルトよな,2026-04-25T14:24:00.453Z
1777126504,Gnkq,2dEv,2dEdMK1cv,【悲報】知的障害者、いきなり施設を脱走して近くのスーパーに突撃→ドーナツを食いまくり窒息死、施設は7200万円の賠償へwwwwwwwwwwwww ,2026-04-25T14:23:59.370Z
1777126440,R+W0,YVbK,YVbjd4NyK,【画像】お嬢様JK、ラッキースケベされてしまう ,2026-04-25T14:24:00.208Z
1777126431,GnXF,ShzV,ShzkwkKgV,&#129402;&#127993;矢ー矢ーなの,2026-04-25T14:24:00.619Z
1777126373,3OAq,1aMX,1aM0PB2JX,【画像】明日ギャンブルなのに「絶対にお金が増える」方法が存在するけどお前ら聞きたいか？,2026-04-25T14:23:59.097Z
1777126363,0LGt,GRUL,GRURx6LdL,韓国人「日本のテレビは議論のレベルが非常に低いのが特徴です。お笑い芸人や銀座のマダムが専門領域についてコメントしています」,2026-04-25T14:23:59.623Z
1777126344,07Zh,fRPk,fRP9TPKGk,エッヂポケモンチャンピオンズスレ、週末夜なのに立たなくなって終わる,2026-04-25T14:23:59.946Z
1777126315,FpHQ,WHbe,WHbUw1K0e,【悲報】毎日ピンセットでヒゲを抜いてるワイ、そろそろ限界,2026-04-25T14:23:59.554Z
1777126304,HSmm,kiWh,kiWOvn4Hh,【悲報】トランプ大統領、バイデン未満か？会談で居眠りを繰り返してしまう,2026-04-25T14:24:00.187Z
1777126283,/wiu,a.9o,a.9gu9RMo,【悲報】山本祐大のプロデュース弁当、なぜかたこ焼きが混ざってる,2026-04-25T14:24:00.474Z
1777126211,W8AO,veIE,veIDgf7ME,&#129402;がいなくなるスプレー散布した,2026-04-25T14:24:00.115Z
1777126179,AoxN,gUIg,gUIe3DSfg,ゼンレスゾーンゼロの南宮羽ちゃん可愛すぎるwwwwwwwwwwwwwwwwwwwwww,2026-04-25T14:23:59.265Z
1777126141,eKa/,avdZ,avdXo6NrZ,【フジ】さんまのお笑い向上委員会,2026-04-25T14:23:59.441Z
1777125901,SdwE,ISy6,ISynTzCY6,職場の人妻から「嫌なことがあったから話聞いて」ってLINE来た&#129402;,2026-04-25T14:24:00.039Z
1777125859,kBEz,eSeE,eSeXky4BE,4/25 高校野球春季大会結果,2026-04-25T14:23:59.970Z
1777125797,G32W,Px3K,Px39TBIdK,蜂蜜が1kg余ってるんやが,2026-04-25T14:24:00.091Z
1777125739,RwR8,SMn0,SMnEvriF0,[pc限定ブラウザサッカー]エッヂhaxball部&#9917;&#65533;,2026-04-25T14:23:59.240Z
1777125732,t6Hp,xFnJ,xFn8A5A0J,【温泉】エッジ国内旅行対策部WWWWWWWWWWWWWWWWWWWWWWWWWWWWGW【GW】,2026-04-25T14:24:00.138Z
1777125619,YcY+,rspM,rspPxe95M,【悲報】日本企業「塗料用シンナー輸入させて！」中国「あ、それ軍民両用だからダメダメ&#128581;&#8205;♂&#65039;」,2026-04-25T14:23:59.192Z
1777125540,DNip,x7bZ,x7bOk9KcZ,【TX】キルアオ,2026-04-25T14:23:58.992Z
1777125480,iykZ,qkuu,qkuJIZ/Pu,【BS日テレ】神の雫→バンドリちゃん→ヴァンガード 15周年リマスター→天使様2→ミンキーモモ(再)★1,2026-04-25T14:23:59.164Z
1777125314,MBna,ODDE,ODDQ546aE,エッヂでサンショウウオ飼育してる奴、多分ワイしかいない,2026-04-25T14:24:00.020Z
1777125242,mRJy,R5eq,R5ekUll2q,ゴールデンウィークのSpotifyジャム部★3,2026-04-25T14:23:59.699Z
1777125193,KOaC,O8rU,O8rAv0GfU,【U-NEXT】リヴァプールvsクリスタルパレス鎌田スタメン　ウルブズスパーズマインツ佐野バイエルン伊藤他【海外サッカー総合】 ,2026-04-25T14:23:59.039Z
1777125188,dCPQ,FbDD,FbDfblhxD,【悲報】刑務官「死刑執行辛いんよ、辞めたいんよ(手当2万円午後半休)」,2026-04-25T14:23:59.673Z
1777125014,jliR,MgCd,MgC628xyd,【映画】エッヂ映画部【映画】,2026-04-25T14:24:00.065Z
1777124926,iykZ,qkuu,qkuJIZ/Pu,【BS13】よわよわ先生→22/7 計算外→黄泉のツガイ→春夏秋冬代行者 春の舞→NEEDY GIRL OVERDOSE→カナン様はあくまでチョロい,2026-04-25T14:23:59.325Z
1777124569,DNip,R2Pe,R2P6dEb/e,【悲報】パンチくん、全てが茶番だったWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWMW,2026-04-25T14:23:59.068Z
1777124253,kQ0k,6O.D,6O.Xec4qD,【朗報】関西人「関東人ってなんで〇〇じゃんっていうの？男がじゃんとか使うな気持ち悪い」,2026-04-25T14:23:59.530Z
1777124035,gXiW,SCTd,SCT5H73Md,【画像】サイレンススズカ、貧乳なのにめちゃくちゃエロい【ウマ娘】 ,2026-04-25T14:23:59.724Z
1777124006,WMiV,lGCG,lGCkos5hG,エッヂスマブラ部   2,2026-04-25T14:23:59.509Z
1777123884,ehPt,FpiL,FpiFgdpYL,●無料合田さん,2026-04-25T14:23:59.750Z
1777123845,pf7+,swH4,swHkgI1C4,水泳部やけど質問ある？,2026-04-25T14:24:00.280Z
1777123529,pMFf,Ghz0,GhzQjjZl0,【悲報】女性声優、芸人に食われまくるwwwwwwwwwwwwwwwwwwwwwwwwwwwwwxwww,2026-04-25T14:23:59.649Z
1777122318,jliR,pubm,pubnD0Xvm,復活のワードウルフ部【初心者歓迎】,2026-04-25T14:23:59.465Z
1777122001,o5Xw,/LzW,/Lztbb7WW,AveMujicaの若葉睦ちゃん,2026-04-25T14:23:59.141Z
1777121931,pMFf,/l4s,/l4AXkoMs,【TBS】たけし【たけしなし】,2026-04-25T14:23:58.872Z
1777121028,VtGh,QGqT,QGqukJ/vT,マリ共和国&#127474;&#127473;、もうすぐ滅亡,2026-04-25T14:23:58.907Z
1777120991,kQ0k,6O.D,6O.Xec4qD,【急募】ツンデレ系ヒロインがオワコンになった理由wwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwww ★4,2026-04-25T14:23:59.348Z
1777120813,9/qs,JgW7,JgWQ1Zw67,【パワプロ2026】どん底の中日ドラゴンズをエッヂフロントの戦略で優勝させる【5年目から】,2026-04-25T14:23:58.942Z
1777120001,Tm4i,q2ss,q2s8Q1cJs,新海誠(43)「そろそろヒット作出さないとヤバい…自分の趣味を抑えて大衆向けエンタメ全開にするか…」,2026-04-25T14:23:59.294Z
